Name	Label	Species	Haplogroup
KC896375.1	KC896375.1|Canis lupus campestris|Mongolia	canis lupus campestris	
KC461238.1	KC461238.1|Canis lupus desertorum|China	canis lupus desertorum	
DQ480501.1	DQ480501.1|Canis lupus familiaris|CladeC|	canis lupus familiaris	C
EU408260.1	EU408260.1|Canis lupus familiaris|CladeB	canis lupus familiaris	B
DQ480497.1	DQ480497.1|Canis lupus familiaris|CladeA|Sweden	canis lupus familiaris	A
KX379529.1	KX379529.1|Canis lupus familiaris|ancient|Germany	canis lupus familiaris	an
KF661084.1	KF661084.1|Canis lupus familiaris|ancient|Argentina	canis lupus familiaris	an
KF661086.1	KF661086.1|Canis lupus familiaris|ancient|USA	canis lupus familiaris	an
KF661053.1	KF661053.1|Canis lupus|china	canis lupus	m
MK937053.1	MK937053.1|Canis lupus|ancient|Taymyr	canis lupus	an
MK937048.1	MK937048.1|Canis lupus|ancient|Trou de l'Ours	canis lupus	an
MK937023.1	MK937023.1|Canis lupus|ancient|Kesslerloch cave	canis lupus	an
AB499824.1	AB499824.1|Canis lupus hodophilax|jw257|Japan	canis lupus hodophilax	jw257
KU644662.1	KU644662.1|Canis lupus italicus|Italy	canis lupus italicus	
NC_010340.2	NC_010340.2|Canis lupus chanco	canis lupus chanco	
FJ032363.2	FJ032363.2|Canis lupus laniger	canis lupus laniger	
NC_027956.1	NC_027956.1|Canis lupaster	canis lupaster	
KT448274.1	KT448274.1|Canis aureus|distinct	canis aureus	
NC_008093.1	NC_008093.1|Canis latrans	canis latrans	
KT448280.1	KT448280.1|Canis mesomelas	canis mesomelas	
NC_013445.1	NC_013445.1|Cuon alpinus	cuon alpinus	
NC_028427.1	NC_028427.1|Lycaon pictus	lycaon pictus	
KT448271.1	KT448271.1|Canis adustus	canis adustus	
KT448284.1	KT448284.1|Lycalopex sechurae	lycalopex sechurae	
NC_024172.1	NC_024172.1|Chrysocyon brachyurus	chrysocyon brachyurus	
MW257226.1	MW257226.1|Speothos Venaticus	Speothos venaticus	
NC_023958.1	NC_023958.1|Vulpes corsac	vulpes corsac	
NC_027935.1	NC_027935.1|Vulpes ferrilata	vulpes ferrilata	
NC_008434.1	NC_008434.1|Vulpes vulpes	vulpes vulpes	
NC_026529.1	NC_026529.1|Vulpes lagopus	vulpes lagopus	
KJ603240.1	KJ603240.1|Vulpes zerda	vulpes zerda	
NC_013700.1	NC_013700.1|Nyctereutes procyonoides	nyctereutes procyonoides	
MW257223.1	MW257223.1|Otocyon megalotis	otocyon megalotis	
KP129018.1	KP129018.1|Urocyon littoralis	urocyon littoralis	
NC_026723.1	NC_026723.1|Urocyon Cinereoargenteus	Urocyon Cinereoargenteus	
