Name	LabID	Label	Species	Haplogroup	Description	Age	Location	Reference
MZ736699.1	ONP1	MZ736699.1 | ONP1 | Rhinoceros unicornis  | India 	Rhinoceros unicornis		Indian one-horned rhinoceros		India	MZ736699.1
NC_001779.1	X97336	NC_001779.1 | X97336 | Rhinoceros unicornis  | India 	Rhinoceros unicornis		Indian one-horned rhinoceros		India	10.1093/oxfordjournals.molbev.a025681
MZ736695.1	KNP3	MZ736695.1 | KNP3 | Rhinoceros unicornis  | India 	Rhinoceros unicornis		Indian one-horned rhinoceros		India	MZ736695.1
MZ736703.1	DNP2	MZ736703.1 | DNP2 | Rhinoceros unicornis  | India 	Rhinoceros unicornis		Indian one-horned rhinoceros		India	MZ736703.1
MZ736706.1	GNP2	MZ736706.1 | GNP2 | Rhinoceros unicornis  | India 	Rhinoceros unicornis		Indian one-horned rhinoceros		India	MZ736706.1
MK909145.1	KB14498	MK909145.1 | KB14498 | Rhinoceros unicornis  | India 	Rhinoceros unicornis		Indian one-horned rhinoceros		India	10.1093/zoolinnean/zlaa004
FJ905815.1	NHM-4139	FJ905815.1 | NHM-4139 | Rhinoceros sondaicus  | Java, Indonesia ~100y	Rhinoceros sondaicus		Javan rhinoceros	~100y	Java, Indonesia	10.1186/1471-2148-9-95 
MK909146.1	JR26	MK909146.1 | JR26 | Rhinoceros sondaicus  | Java, Indonesia 	Rhinoceros sondaicus		Javan rhinoceros		Java, Indonesia	10.1093/zoolinnean/zlaa004
MK909148.1	JR3320	MK909148.1 | JR3320 | Rhinoceros sondaicus  | Java, Indonesia 	Rhinoceros sondaicus		Javan rhinoceros		Java, Indonesia	10.1093/zoolinnean/zlaa004
MK909151.1	JR3851	MK909151.1 | JR3851 | Rhinoceros sondaicus  | Java, Indonesia 	Rhinoceros sondaicus		Javan rhinoceros		Java, Indonesia	10.1093/zoolinnean/zlaa004
MF066641.1	KB6196	MF066641.1 | KB6196 | Dicerorhinus sumatrensis (sumatrensis) | Malay Peninsula 	Dicerorhinus sumatrensis	sumatrensis	Sumatran rhinoceros		Malay Peninsula	10.1007/s10592-017-1011-1
MF066629.1	KB20219	MF066629.1 | KB20219 | Dicerorhinus sumatrensis (sumatrensis) | Sumatra, Indonesia 	Dicerorhinus sumatrensis	sumatrensis	Sumatran rhinoceros		Sumatra, Indonesia	10.1007/s10592-017-1011-1
MF066637.1	OR1266	MF066637.1 | OR1266 | Dicerorhinus sumatrensis (sumatrensis) | Sumatra, Indonesia 	Dicerorhinus sumatrensis	sumatrensis	Sumatran rhinoceros		Sumatra, Indonesia	10.1007/s10592-017-1011-1
MF066631.1	KB20277	MF066631.1 | KB20277 | Dicerorhinus sumatrensis (harrissoni) | Sabah, Borneo, Malaysia 	Dicerorhinus sumatrensis	harrissoni	Sumatran rhinoceros		Sabah, Borneo, Malaysia	10.1007/s10592-017-1011-1
MK909153.1	Tam	MK909153.1 | Tam | Dicerorhinus sumatrensis (harrissoni) | Sabah, Borneo, Malaysia 	Dicerorhinus sumatrensis	harrissoni	Sumatran rhinoceros		Sabah, Borneo, Malaysia	10.1093/zoolinnean/zlaa004
MF066632.1	KB20278	MF066632.1 | KB20278 | Dicerorhinus sumatrensis (harrissoni) | Sabah, Borneo, Malaysia 	Dicerorhinus sumatrensis	harrissoni	Sumatran rhinoceros		Sabah, Borneo, Malaysia	10.1007/s10592-017-1011-1
MF066642.1	KB6197	MF066642.1 | KB6197 | Dicerorhinus sumatrensis (sumatrensis) | Malay Peninsula 	Dicerorhinus sumatrensis	sumatrensis	Sumatran rhinoceros		Malay Peninsula	10.1007/s10592-017-1011-1
MF066636.1	OR1265	MF066636.1 | OR1265 | Dicerorhinus sumatrensis (sumatrensis) | Sumatra, Indonesia 	Dicerorhinus sumatrensis	sumatrensis	Sumatran rhinoceros		Sumatra, Indonesia	10.1007/s10592-017-1011-1
ND003	SAMEA6246862	ND003 | SAMEA6246862 | Coelodonta antiquitatis (A) | Chukotka, Russia ~31ky	Coelodonta antiquitatis	A	Woolly rhinoceros	~31ky	Chukotka, Russia	10.1016/j.cub.2020.07.046
ND004	SAMEA6246863	ND004 | SAMEA6246863 | Coelodonta antiquitatis (A) | Chukotka, Russia ~40ky	Coelodonta antiquitatis	A	Woolly rhinoceros	~40ky	Chukotka, Russia	10.1016/j.cub.2020.07.046
ND008	SAMEA6246864	ND008 | SAMEA6246864 | Coelodonta antiquitatis (A) | Chukotka, Russia ~33ky	Coelodonta antiquitatis	A	Woolly rhinoceros	~33ky	Chukotka, Russia	10.1016/j.cub.2020.07.046
ND010	SAMEA6246865	ND010 | SAMEA6246865 | Coelodonta antiquitatis (A) | Chukotka, Russia ~31ky	Coelodonta antiquitatis	A	Woolly rhinoceros	~31ky	Chukotka, Russia	10.1016/j.cub.2020.07.046
ND014	SAMEA6246867	ND014 | SAMEA6246867 | Coelodonta antiquitatis (A) | Yakutia, Russia ~36ky	Coelodonta antiquitatis	A	Woolly rhinoceros	~36ky	Yakutia, Russia	10.1016/j.cub.2020.07.046
ND015	SAMEA6246868	ND015 | SAMEA6246868 | Coelodonta antiquitatis (A) | Yakutia, Russia ~28ky	Coelodonta antiquitatis	A	Woolly rhinoceros	~28ky	Yakutia, Russia	10.1016/j.cub.2020.07.046
ND036	SAMEA6246872	ND036 | SAMEA6246872 | Coelodonta antiquitatis (A) | Chukotka, Russia ~46ky	Coelodonta antiquitatis	A	Woolly rhinoceros	~46ky	Chukotka, Russia	10.1016/j.cub.2020.07.046
ND041	SAMEA6246873	ND041 | SAMEA6246873 | Coelodonta antiquitatis (A) | Yakutia, Russia ~13ky	Coelodonta antiquitatis	A	Woolly rhinoceros	~13ky	Yakutia, Russia	10.1016/j.cub.2020.07.046
ND045	SAMEA6246874	ND045 | SAMEA6246874 | Coelodonta antiquitatis (A) | Yakutia, Russia >42ky	Coelodonta antiquitatis	A	Woolly rhinoceros	>42ky	Yakutia, Russia	10.1016/j.cub.2020.07.046
MK909152.1	MK019	MK909152.1 | MK019 | Coelodonta antiquitatis (A) | Yakutia, Russia 	Coelodonta antiquitatis	A	Woolly rhinoceros		Yakutia, Russia	10.1093/zoolinnean/zlaa004
ND012	SAMEA6246866	ND012 | SAMEA6246866 | Coelodonta antiquitatis (B) | Chukotka, Russia ~31ky	Coelodonta antiquitatis	B	Woolly rhinoceros	~31ky	Chukotka, Russia	10.1016/j.cub.2020.07.046
ND031	SAMEA6246870	ND031 | SAMEA6246870 | Coelodonta antiquitatis (B) | Chukotka, Russia ~16ky	Coelodonta antiquitatis	B	Woolly rhinoceros	~16ky	Chukotka, Russia	10.1016/j.cub.2020.07.046
ND035	SAMEA6246871	ND035 | SAMEA6246871 | Coelodonta antiquitatis (B) | Chukotka, Russia ~15ky	Coelodonta antiquitatis	B	Woolly rhinoceros	~15ky	Chukotka, Russia	10.1016/j.cub.2020.07.046
DS253	SAMEA6246875	DS253 | SAMEA6246875 | Coelodonta antiquitatis (B) | Yakutia, Russia ~12ky	Coelodonta antiquitatis	B	Woolly rhinoceros	~12ky	Yakutia, Russia	10.1016/j.cub.2020.07.046
FJ905813.1	LDR-P75	FJ905813.1 | LDR-P75 | Coelodonta antiquitatis (B) | Yakutia, Russia 	Coelodonta antiquitatis	B	Woolly rhinoceros		Yakutia, Russia	10.1186/1471-2148-9-95 
OP803072.1	CADG739	OP803072.1 | CADG739 | Coelodonta antiquitatis (C) | Northern China ~44ky	Coelodonta antiquitatis	C	Woolly rhinoceros	~44ky	Northern China	10.1186/s12862-023-02168-0
OP803074.1	CADG900	OP803074.1 | CADG900 | Coelodonta antiquitatis (C) | Northern China ~51ky	Coelodonta antiquitatis	C	Woolly rhinoceros	~51ky	Northern China	10.1186/s12862-023-02168-0
OP803075.1	CADG912	OP803075.1 | CADG912 | Coelodonta antiquitatis (C) | Northern China ~59ky	Coelodonta antiquitatis	C	Woolly rhinoceros	~59ky	Northern China	10.1186/s12862-023-02168-0
ND030	SAMEA6246869	ND030 | SAMEA6246869 | Coelodonta antiquitatis (C) | Wrangel Island ~38ky	Coelodonta antiquitatis	C	Woolly rhinoceros	~38ky	Wrangel Island, Russia	10.1016/j.cub.2020.07.046
SP.A.8245		SP.A.8245 | Coelodonta antiquitatis © | Denisova Cave	Coelodonta antiquitatis	C	Woolly rhinoceros			Unpublished
SP5047		SP5047 | Coelodonta antiquitatis (D) | Scladina, Belgium ~44ky	Coelodonta antiquitatis	D3	Woolly rhinoceros	~44ky	Scladina Cave, Belgium	Unpublished
SP.B.2647		SP.B.2647 | Coelodonta antiquitatis (D) | Ranis, Germany	Coelodonta antiquitatis	D3	Woolly rhinoceros			Unpublished
SP4565		SP4565 | Coelodonta antiquitatis (D) | Kozarnika Cave, Bulgaria ~150ky	Coelodonta antiquitatis	D2	Woolly rhinoceros	~150ky	Kozarnika Cave, Bulgaria	Unpublished
SP.A.3897		SP.A.3897 | Coelodonta antiquitatis (D) | Chagyrskaya Cave, Russia	Coelodonta antiquitatis	D1	Woolly rhinoceros			Unpublished
SP.B.1312		SP.B.1312 | Coelodonta antiquitatis (D) | Denisova Cave, Russia	Coelodonta antiquitatis	D1	Woolly rhinoceros			Unpublished
BSVK22		BSVK22 | Coelodonta antiquitatis (D) | Bockstein-Loch, Germany	Coelodonta antiquitatis	D1	Woolly rhinoceros		Germany	10.1098/rsbl.2023.0343 
OP803073.1	CADG744	OP803073.1 | CADG744 | Coelodonta antiquitatis (D) | Northern China ~63ky	Coelodonta antiquitatis	D1	Woolly rhinoceros	~63ky	Northern China	10.1186/s12862-023-02168-0
OQ889160.1	ZPL-Uwr-GI-80	OQ889160.1 | ZPL-Uwr-GI-80 | Stephanorhinus kirchbergensis | Gorzów Wielkopolski, Poland 	Stephanorhinus kirchbergensis		Merck's rhinoceros		Gorzów Wielkopolski, Poland	10.1127/njgpa/2023/1129
OQ730110.1	SLC073_F-887	OQ730110.1 | SLC073_F-887 | Stephanorhinus kirchbergensis | Russia 	Stephanorhinus kirchbergensis		Merck's rhinoceros		Russia	10.1134/S1062359021090077
KX646743.1	JK254	KX646743.1 | JK254 | Stephanorhinus kirchbergensis | Chondon River, Russia ~60ky	Stephanorhinus kirchbergensis		Merck's rhinoceros	~60ky	Chondon River, Russia	10.1017/qua.2017.53 
CM038193.1	KB9947	CM038193.1 | KB9947 | Ceratotherium cottoni	Ceratotherium cottoni		Northern white rhinoceros			10.1073/pnas.2401207122
NC_001808.1		NC_001808.1 |  | Ceratotherium simum	Ceratotherium simum		White rhinoceros			10.1006/mpev.1996.0385 
FJ905814.1	NHM-36	FJ905814.1 | NHM-36 | Diceros bicornis | Ethopia ~100y	Diceros bicornis	brucii	Black rhinoceros	~100y	Ethopia	10.1186/1471-2148-9-95 
MK909143.1	NZG:46373	MK909143.1 | NZG:46373 | Diceros bicornis | Zuzuland, South Africa	Diceros bicornis	minor	Black rhinoceros		Zuzuland, South Africa	10.1093/zoolinnean/zlaa004
MH937516.1	IPAE 897/200	MH937516.1 | IPAE 897/200 | Elasmotherium sibiricum | Borovlyanka, Russia	Elasmotherium sibiricum		Siberian unicorn		Borovlyanka, Russia	10.1038/s41559-018-0722-0
MH937515.1	IPAE 1871/200	MH937515.1 | IPAE 1871/200 | Elasmotherium sibiricum | Voronovka, Russia ~35ky	Elasmotherium sibiricum		Siberian unicorn	~35ky	Voronovka, Russia	10.1038/s41559-018-0722-0
MH937513.1	IPAE 915/2804	MH937513.1 | IPAE 915/2804 | Elasmotherium sibiricum | Tobolsk, Russia >49ky	Elasmotherium sibiricum		Siberian unicorn	>49ky	Tobolsk, Russia	10.1038/s41559-018-0722-0
